"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","lad_code","lad_name","version","level_methodology","establishment_type","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000015","Harrow","Revised","Pupil residency","State-funded schools (LA)",104,2792,150498.25,53.9,2719,97.4,1662,59.5,2067,74,1854,66.4,890,31.9,1168,41.8,13872.01,4.97,2425,1250.807,"0.52","0.46","0.57"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000016","Havering","Revised","Pupil residency","State-funded schools (LA)",125,3119,150977,48.4,3006,96.4,1541,49.4,2207,70.8,1902,61,688,22.1,1047,33.6,13595.05,4.36,2881,-72.863,"-0.03","-0.08","0.03"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000017","Hillingdon","Revised","Pupil residency","State-funded schools (LA)",130,3563,180834.25,50.8,3453,96.9,1930,54.2,2573,72.2,1705,47.9,787,22.1,1117,31.3,16126.14,4.53,3260,908.199,"0.28","0.23","0.33"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000018","Hounslow","Revised","Pupil residency","State-funded schools (LA)",113,3189,162775.5,51,3057,95.9,1787,56,2314,72.6,1766,55.4,841,26.4,1176,36.9,14808.73,4.64,2767,1025.784,"0.37","0.32","0.42"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000019","Islington","Revised","Pupil residency","State-funded schools (LA)",87,1585,75833.75,47.8,1505,95,775,48.9,1053,66.4,834,52.6,370,23.3,485,30.6,6836.85,4.31,1497,13.11,"0.01","-0.06","0.08"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000020","Kensington and Chelsea","Revised","Pupil residency","State-funded schools (LA)",61,619,32427.75,52.4,601,97.1,355,57.4,467,75.4,343,55.4,136,22,186,30,2862.72,4.62,533,90.445,"0.17","0.05","0.29"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000021","Kingston upon Thames","Revised","Pupil residency","State-funded schools (LA)",59,1653,92973.5,56.2,1602,96.9,1043,63.1,1321,79.9,1026,62.1,555,33.6,726,43.9,8518.62,5.15,1475,839.954,"0.57","0.5","0.64"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000022","Lambeth","Revised","Pupil residency","State-funded schools (LA)",138,2652,125158.25,47.2,2555,96.3,1266,47.7,1740,65.6,1391,52.5,564,21.3,788,29.7,11208.93,4.23,2438,128.122,"0.05","0","0.11"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000023","Lewisham","Revised","Pupil residency","State-funded schools (LA)",145,3008,145627.25,48.4,2886,95.9,1490,49.5,2002,66.6,1678,55.8,690,22.9,980,32.6,13247.84,4.4,2782,394.778,"0.14","0.09","0.19"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000024","Merton","Revised","Pupil residency","State-funded schools (LA)",104,2093,115199.88,55,2029,96.9,1284,61.3,1615,77.2,1157,55.3,648,31,850,40.6,10539.87,5.04,1912,1229.992,"0.64","0.58","0.71"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000025","Newham","Revised","Pupil residency","State-funded schools (LA)",168,4427,225851,51,4307,97.3,2413,54.5,3180,71.8,2738,61.8,1090,24.6,1557,35.2,20341.86,4.59,3949,969.547,"0.25","0.2","0.29"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000026","Redbridge","Revised","Pupil residency","State-funded schools (LA)",149,3850,209299.75,54.4,3755,97.5,2416,62.8,2996,77.8,1982,51.5,1004,26.1,1304,33.9,18865.05,4.9,3493,1804.238,"0.52","0.47","0.56"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000027","Richmond upon Thames","Revised","Pupil residency","State-funded schools (LA)",69,1643,96181.89,58.5,1588,96.7,1129,68.7,1362,82.9,991,60.3,662,40.3,791,48.1,8894.17,5.41,1493,756.695,"0.51","0.44","0.58"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000028","Southwark","Revised","Pupil residency","State-funded schools (LA)",116,2703,134866.75,49.9,2607,96.4,1428,52.8,1911,70.7,1765,65.3,669,24.8,999,37,12275.11,4.54,2548,778.54,"0.31","0.25","0.36"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000029","Sutton","Revised","Pupil residency","State-funded schools (LA)",90,2488,139386.76,56,2395,96.3,1589,63.9,1954,78.5,1143,45.9,715,28.7,899,36.1,12536.15,5.04,2241,903.296,"0.4","0.34","0.46"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000030","Tower Hamlets","Revised","Pupil residency","State-funded schools (LA)",115,3068,153007,49.9,2937,95.7,1666,54.3,2170,70.7,1892,61.7,706,23,992,32.3,13670.78,4.46,2806,688.34,"0.25","0.19","0.3"
"202223","Academic year","Local authority district","E92000001","England","E13000002","Outer London","E09000031","Waltham Forest","Revised","Pupil residency","State-funded schools (LA)",127,3034,143882.25,47.4,2930,96.6,1497,49.3,2040,67.2,1253,41.3,563,18.6,768,25.3,12637.46,4.17,2812,-42.952,"-0.02","-0.07","0.04"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000032","Wandsworth","Revised","Pupil residency","State-funded schools (LA)",102,2079,106537.75,51.2,2004,96.4,1153,55.5,1494,71.9,1237,59.5,611,29.4,809,38.9,9914.41,4.77,1889,698.455,"0.37","0.31","0.43"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000033","Westminster","Revised","Pupil residency","State-funded schools (LA)",80,1094,57675.25,52.7,1048,95.8,635,58,813,74.3,744,68,343,31.4,469,42.9,5320.82,4.86,978,428.928,"0.44","0.35","0.53"
