"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","5","161"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","6","75"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","7","32"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","8","15"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","9","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","Total exam entries","4021"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","U","353"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Language","X","525"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","1","222"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","2","254"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","3","154"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","4","101"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","5","58"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","6","33"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","7","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","8","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","9","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","Covid impacted","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","Total exam entries","1088"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","U","124"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English Literature","X","123"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","1","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","2","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","3","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","4","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","5","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","6","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","7","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","8","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","9","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","Covid impacted","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","Total exam entries","2253"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","U","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","English, mathematics & science","X","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","1","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","2","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","3","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","4","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","5","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","6","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","7","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","9","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","Total exam entries","16"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","U","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Film Studies","X","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","1","17"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","2","23"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","3","29"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","4","11"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","5","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","6","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","7","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Food Preparation & Nutrition","9","0"
