time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,education_investment_area_flag,priority_area_flag,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,sen_description,disadvantage,first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Asian,Any other Asian background,Total,Total,Total,Total,Total,12,31,1588.5,51.2,31,100,18,58.1,24,77.4,20,64.5,5,16.1,11,35.5,144.15,4.65,26,16.061,0.62,0.07,1.16
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Asian,Bangladeshi,Total,Total,Total,Total,Total,7,12,530.75,44.2,12,100,6,50,8,66.7,6,50,3,25,4,33.3,47.66,3.97,11,-3.032,-0.28,-1.11,0.56
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Asian,Chinese,Total,Total,Total,Total,Total,6,10,652,65.2,10,100,8,80,9,90,9,90,7,70,7,70,62.51,6.25,9,12.196,1.36,0.43,2.28
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Asian,Indian,Total,Total,Total,Total,Total,3,4,238,59.5,4,100,3,75,4,100,3,75,2,50,2,50,22.33,5.58,4,2.845,0.71,-0.67,2.1
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Asian,Pakistani,Total,Total,Total,Total,Total,5,8,254.5,31.8,6,75,1,12.5,2,25,3,37.5,1,12.5,1,12.5,23.35,2.92,8,-0.096,-0.01,-0.99,0.97
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,Asian,Total,Total,Total,Total,Total,Total,14,65,3263.75,50.2,63,96.9,36,55.4,47,72.3,41,63.1,18,27.7,25,38.5,300,4.62,58,27.974,0.48,0.12,0.85
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Black,Any other black background,Total,Total,Total,Total,Total,14,44,1764.75,40.1,40,90.9,16,36.4,18,40.9,24,54.5,4,9.1,9,20.5,158.49,3.6,42,-11.013,-0.26,-0.69,0.17
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Black,Black African,Total,Total,Total,Total,Total,14,281,13571.75,48.3,274,97.5,135,48,186,66.2,180,64.1,55,19.6,84,29.9,1233.31,4.39,247,58.457,0.24,0.06,0.41
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Black,Caribbean,Total,Total,Total,Total,Total,13,137,5763.25,42.1,137,100,44,32.1,76,55.5,74,54,13,9.5,24,17.5,510.46,3.73,135,-30.665,-0.23,-0.47,0.01
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,Black,Total,Total,Total,Total,Total,Total,15,462,21099.75,45.7,451,97.6,195,42.2,280,60.6,278,60.2,72,15.6,117,25.3,1902.26,4.12,424,16.779,0.04,-0.1,0.17
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Mixed,Any other mixed background,Total,Total,Total,Total,Total,12,50,2356.75,47.1,50,100,22,44,31,62,31,62,12,24,18,36,213.31,4.27,45,-4.705,-0.1,-0.52,0.31
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,Mixed,Total,Total,Total,Total,Total,Total,13,167,7777.25,46.6,164,98.2,71,42.5,98,58.7,102,61.1,38,22.8,53,31.7,705.62,4.23,157,-21.593,-0.14,-0.36,0.08
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Mixed,White and Asian,Total,Total,Total,Total,Total,8,18,1137,63.2,18,100,14,77.8,15,83.3,13,72.2,9,50,10,55.6,104.66,5.81,18,11.15,0.62,-0.03,1.27
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Mixed,White and Black African,Total,Total,Total,Total,Total,11,32,1674.25,52.3,32,100,17,53.1,22,68.8,18,56.3,9,28.1,10,31.3,151.83,4.74,29,9.786,0.34,-0.18,0.85
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Mixed,White and Black Caribbean,Total,Total,Total,Total,Total,12,67,2609.25,38.9,64,95.5,18,26.9,30,44.8,40,59.7,8,11.9,15,22.4,235.82,3.52,65,-37.824,-0.58,-0.93,-0.24
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Other,Any other ethnic group,Total,Total,Total,Total,Total,15,57,2870.5,50.4,54,94.7,30,52.6,38,66.7,28,49.1,14,24.6,20,35.1,263.32,4.62,44,21.845,0.5,0.08,0.91
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,Other,Total,Total,Total,Total,Total,Total,15,57,2870.5,50.4,54,94.7,30,52.6,38,66.7,28,49.1,14,24.6,20,35.1,263.32,4.62,44,21.845,0.5,0.08,0.91
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Free school meals,Girls,Total,Total,FSM,Total,Total,Total,Total,16,325,12753.5,39.2,308,94.8,98,30.2,164,50.5,159,48.9,36,11.1,69,21.2,1141.75,3.51,295,-104.614,-0.35,-0.52,-0.19
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Free school meals,Girls,Total,Total,FSM all other,Total,Total,Total,Total,15,826,42483.5,51.4,805,97.5,438,53,564,68.3,551,66.7,233,28.2,309,37.4,3886.9,4.71,758,201.472,0.27,0.17,0.37
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Girls,Total,Total,Total,No SEN,Total,Total,Total,13,994,50218.25,50.5,985,99.1,499,50.2,670,67.4,665,66.9,257,25.9,359,36.1,4599.98,4.63,902,163.987,0.18,0.09,0.27
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Girls,Total,Total,Total,SEN State EHC,Total,Total,Total,12,37,373,10.1,14,37.8,1,2.7,2,5.4,3,8.1,1,2.7,1,2.7,31.66,0.86,36,-40.71,-1.13,-1.59,-0.67
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Girls,Total,Total,Total,SEN Supp,Total,Total,Total,13,120,4645.75,38.7,114,95,36,30,56,46.7,42,35,11,9.2,18,15,397.01,3.31,115,-26.419,-0.23,-0.49,0.03
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN description,Girls,Total,Total,Total,Total,Any SEN,Total,Total,16,157,5018.75,32,128,81.5,37,23.6,58,36.9,45,28.7,12,7.6,19,12.1,428.67,2.73,151,-67.129,-0.44,-0.67,-0.22
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN description,Girls,Total,Total,Total,Total,No identified SEN,Total,Total,13,994,50218.25,50.5,985,99.1,499,50.2,670,67.4,665,66.9,257,25.9,359,36.1,4599.98,4.63,902,163.987,0.18,0.09,0.27
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Disadvantage,Girls,Total,Total,Total,Total,Total,Disadvantaged,Total,16,400,15912.5,39.8,380,95,126,31.5,204,51,204,51,45,11.3,86,21.5,1422.26,3.56,367,-136.431,-0.37,-0.52,-0.23
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Disadvantage,Girls,Total,Total,Total,Total,Total,Disadvantaged all other,Total,15,751,39324.5,52.4,733,97.6,410,54.6,524,69.8,506,67.4,224,29.8,292,38.9,3606.39,4.8,686,233.289,0.34,0.23,0.45
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),First language,Girls,Total,Total,Total,Total,Total,Total,English,16,798,38218.75,47.9,765,95.9,380,47.6,509,63.8,492,61.7,178,22.3,255,32,3451.69,4.33,768,-10.884,-0.01,-0.11,0.09
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),First language,Girls,Total,Total,Total,Total,Total,Total,Other than English,15,345,16726.25,48.5,340,98.6,154,44.6,216,62.6,216,62.6,90,26.1,122,35.4,1551.78,4.5,277,113.922,0.41,0.24,0.58
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Total,Girls,Total,Total,Total,Total,Total,Total,Total,16,1151,55237,48,1113,96.7,536,46.6,728,63.2,710,61.7,269,23.4,378,32.8,5028.65,4.37,1053,96.858,0.09,0.01,0.18
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,Unclassified,Total,Total,Total,Total,Total,Total,13,63,3053.5,48.5,61,96.8,31,49.2,43,68.3,43,68.3,14,22.2,22,34.9,277.68,4.41,58,8.876,0.15,-0.21,0.52
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,Unclassified,Unclassified,Total,Total,Total,Total,Total,13,63,3053.5,48.5,61,96.8,31,49.2,43,68.3,43,68.3,14,22.2,22,34.9,277.68,4.41,58,8.876,0.15,-0.21,0.52
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,White,Any other white background,Total,Total,Total,Total,Total,15,109,5333.75,48.9,104,95.4,49,45,68,62.4,76,69.7,34,31.2,42,38.5,504.84,4.63,88,32.154,0.37,0.07,0.66
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Girls,White,Total,Total,Total,Total,Total,Total,16,337,17172.25,51,320,95,173,51.3,222,65.9,218,64.7,113,33.5,141,41.8,1579.77,4.69,312,42.977,0.14,-0.02,0.29
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,White,White British,Total,Total,Total,Total,Total,15,226,11680.5,51.7,214,94.7,122,54,152,67.3,141,62.4,78,34.5,98,43.4,1060.93,4.69,222,8.825,0.04,-0.15,0.23
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Girls,White,White Irish,Total,Total,Total,Total,Total,2,2,158,79,2,100,2,100,2,100,1,50,1,50,1,50,14,7,2,1.998,1,-0.96,2.96
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Total,Asian,Any other Asian background,Total,Total,Total,Total,Total,17,88,4543.25,51.6,82,93.2,51,58,66,75,43,48.9,15,17,26,29.5,413.15,4.69,77,38.709,0.5,0.19,0.82
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Total,Asian,Bangladeshi,Total,Total,Total,Total,Total,10,21,975.25,46.4,20,95.2,12,57.1,15,71.4,10,47.6,7,33.3,8,38.1,88.32,4.21,20,-0.989,-0.05,-0.67,0.57
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Total,Asian,Chinese,Total,Total,Total,Total,Total,14,32,1998.25,62.4,30,93.8,24,75,27,84.4,23,71.9,15,46.9,19,59.4,190.51,5.95,28,27.611,0.99,0.46,1.51
