"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","gender","admission_type","religious_denomination","grade","number_achieving","percentage_achieving"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Girls","Total","Total","Total pupil entries","16","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Film Studies","Total","Total","Total","Total pupil entries","17","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Boys","Total","Total","a to b","9","82"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Girls","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Total","Total","Total","a to b","10","77"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Boys","Total","Total","a to e","10","91"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Girls","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Total","Total","Total","a to e","12","92"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Boys","Total","Total","Total pupil entries","11","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Girls","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","French","Total","Total","Total","Total pupil entries","13","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Boys","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Total","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Geography","Total","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Boys","Total","Total","a to b","4","67"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Girls","Total","Total","a to b","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Total","Total","Total","a to b","6","75"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Boys","Total","Total","a to e","6","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Girls","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Total","Total","Total","a to e","8","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Boys","Total","Total","Total pupil entries","6","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Girls","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","German","Total","Total","Total","Total pupil entries","8","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Boys","Total","Total","a to b","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Total","Total","Total","a to b","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Boys","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Total","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Latin","Total","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Boys","Total","Total","a to b","2333","66"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Girls","Total","Total","a to b","1267","61"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Total","Total","Total","a to b","3600","65"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Boys","Total","Total","a to e","3091","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Girls","Total","Total","a to e","1791","87"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Total","Total","Total","a to e","4882","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Boys","Total","Total","Total pupil entries","3510","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Girls","Total","Total","Total pupil entries","2063","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics","Total","Total","Total","Total pupil entries","5573","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Boys","Total","Total","a to b","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Girls","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Total","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Boys","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Girls","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Total","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Girls","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Mathematics AS level","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Boys","Total","Total","a to b","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Total","Total","Total","a to b","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Boys","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Total","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Boys","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Music","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Boys","Total","Total","a to b","19","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Total","Total","Total","a to b","19","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Boys","Total","Total","a to e","20","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Total","Total","Total","a to e","20","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Boys","Total","Total","Total pupil entries","20","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Design and Technology","Total","Total","Total","Total pupil entries","20","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Girls","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Girls","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Total","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Girls","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Modern Languages","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Boys","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Total","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Other Sciences","Total","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Boys","Total","Total","a to b","57","59"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Girls","Total","Total","a to b","4","20"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Total","Total","Total","a to b","61","53"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Boys","Total","Total","a to e","92","96"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Girls","Total","Total","a to e","20","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Total","Total","Total","a to e","112","97"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Boys","Total","Total","Total pupil entries","96","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Girls","Total","Total","Total pupil entries","20","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Religious Studies","Total","Total","Total","Total pupil entries","116","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Boys","Total","Total","a to b","17","59"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Girls","Total","Total","a to b","30","45"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Total","Total","Total","a to b","47","49"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Boys","Total","Total","a to e","27","93"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Girls","Total","Total","a to e","58","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Social Studies","Total","Total","Total","a to e","85","89"
